date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:48	136602/136602	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:03:08%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentccee.html?Section=m&Code=39	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentcceeccee.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:48	142901/142901	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:03:12%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contenta77e.html?Section=m&Code=35	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contenta77ea77e.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:49	136408/136408	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:03:18%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentbf79.html?Section=m&Code=45	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentbf79bf79.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:49	139343/139343	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:03:24%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content9b02.html?Section=m&Code=53	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content9b029b02.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:50	136653/136653	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:03:30%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content7d19.html?Section=m&Code=54	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content7d197d19.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:51	138136/138136	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:03:34%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contentf7f4.html?Section=m&Code=31	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contentf7f4f7f4.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:51	138513/138513	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:03:40%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content8591.html?Section=m&Code=18	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content85918591.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:52	136665/136665	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:03:46%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content9338.html?Section=m&Code=47	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content93389338.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:53	136722/136722	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:03:52%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content1cd3.html?Section=m&Code=129	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content1cd31cd3.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:53	136809/136809	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:03:58%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/content07f1.html?Section=m&Code=404	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/content07f107f1.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
11:52:54	136854/136854	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202006%2010:04:02%20GMT	http://bhfiles.com/files/Battle.net/bnetdocs/contente839.html?Section=m&Code=403	C:/Users/Carl/Downloads/BNETDocs/bnetdocs/BNETDocs/bhfiles.com/files/Battle.net/bnetdocs/contente839e839.html	(from http://bhfiles.com/files/Battle.net/bnetdocs/content.html)
